"Tổng Giáo Phận Sài Gòn
Giáo xứ Thánh Đa Minh – Ba Chuông
Xứ đoàn Đức Maria – Mẹ Thiên Chúa",,,,,,,,,,,"BẢNG ĐIỂM DANH NĂM HỌC 2024 - 2025
PHÂN ĐOÀN: Thiếu Nhi 1
HT phụ trách :  Tr. A - Tr. B - Tr. C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THÔNG TIN THIẾU NHI,,,,HKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HKII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X = Có Mặt,P = Phép,O = Vắng,T = Trễ,Tháng 9,,,,,,,,Tháng 10,,,,,,,,Tháng 11,,,,,,,,Tháng 12,,,,,,,,THI HKI,,THÁNH LỄ + NHÂN BẢN,,,,GIÁO LÝ,,,Tháng 1,,,,,,,,Tháng 2,,,,,,,,Tháng 3,,,,,,,,,,Tháng 4,,,,,,,,Tháng 5,,,,,,,,,,Tháng 6,,,,,,,,TỔNG KẾT,,,
STT,TÊN THÁNH,HỌ,TÊN,07/09/2025,,14/09/2025,,21/09/2025,,28/09/2025,,05/10/2025,,12/10/2025,,19/10/2025,,26/10/2025,,02/11/2025,,09/11/2025,,16/11/2025,,23/11/2025,,30/11/2025,,07/12/2025,,14/12/2025,,21/12/2025,,28/12/2025,,HIỆN DIỆN,TRỄ,PHÉP,KHÔNG PHÉP,HIỆN DIỆN,PHÉP,KHÔNG PHÉP,04/01/2026,,11/01/2026,,18/01/2026,,25/01/2026,,01/02/2026,,08/02/2026,,15/02/2026,,22/02/2026,,01/03/2026,,08/03/2026,,15/03/2026,,22/03/2026,,29/03/2026,,05/04/2026,,12/04/2026,,19/04/2026,,26/04/2026,,03/05/2026,,10/05/2026,,17/05/2026,,24/05/2026,,31/05/2026,,07/06/2026,,14/06/2026,,21/06/2026,,28/06/2026,,HIỆN DIỆN,,PHÉP,
,,,,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,,,,,,,,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,TL,GL,,,,
1,Têrêsa Calcutta,Trần Di,An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2,Gioan Phaolô II,Văn Minh,Duy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
3,Phanxicô X.,Dương Quang,Huy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
4,Giuse,Trần Hoàng Nguyên,Khôi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
